idx	1_A+B	1_A-B	1_A*B	1_A==B	1/2_A+B	1/2_A-B	1/2_A*B	1/2_A==B	mx_A+B	mx_A-B	mx_A*B	mx_A==B	 
204	17.3197	17.8438	73.6433	0.64327	60.0071	34.0921	59.3584	4.60209	103.067	58.0879	101.055	8.16537	
205	17.3804	18.0576	74.725	0.64578	60.345	33.9971	59.4283	4.62127	103.06	57.8316	101.264	8.18251	
206	17.4941	18.0416	75.0225	0.65091	60.5425	34.7433	59.4334	4.80955	103.439	58.3367	101.07	8.18378	
207	17.5613	18.0946	75.8563	0.6487	60.3925	34.1254	59.8171	4.61752	103.734	57.9567	101.147	8.27997	
208	17.6412	18.1913	76.0271	0.64921	60.3813	34.3096	59.6008	4.6283	103.587	58.4892	101.216	8.18123	
209	17.728	18.275	76.7133	0.65535	60.5433	34.2692	59.8787	4.63669	103.813	58.32	101.787	8.19542	
210	17.9117	18.7496	77.6692	0.66169	60.6321	34.5021	59.81	4.63876	103.627	58.3304	101.497	8.18961	
211	17.8937	18.4405	78.6917	0.65999	61.1175	34.3475	59.9925	4.63586	103.363	58.1604	101.547	8.1933	
212	17.9816	18.8746	78.65	0.66367	60.6888	34.8858	59.8971	4.63748	103.663	58.2533	101.645	8.20335	
213	18.0442	18.61	79.2758	0.66808	60.7721	34.3896	60.105	4.65464	104.407	58.545	101.55	8.20289	
214	18.2842	18.6909	79.9716	0.66845	60.9033	34.4633	60.1242	4.65219	103.934	58.6304	101.728	8.21039	
215	18.2096	18.7854	80.732	0.67378	61.1537	34.4867	60.2583	4.65802	103.833	58.3492	102.395	8.21501	
216	18.5617	19.2046	81.4533	0.67586	61.1971	34.5671	60.3933	4.66658	104.003	58.3658	101.84	8.21576	
